id	rate
13171	19.8
13173	25.9
13175	24.3
13177	22.6
13179	10.7
13181	15.2
13183	15.9
13185	13.9
13187	9.3
13189	35.2
13191	3.3
13193	43.7
13195	18.6
13197	29.4
13199	35.9
13201	23.7
13205	34.2
13207	25.7
13209	18.4
13211	10
13213	24.8
13215	12.5
13217	22.2
13219	12
13221	19.5
13223	14.2
13225	8.7
13227	16.9
13229	21.4
13231	12.8
13233	36
13235	21.9
13237	17.4
13239	11.8
13241	25.9
13243	36.4
13245	20
13247	18.8
13249	15.6
13251	30.1
13253	30.4
13255	25.8
13257	25
13259	55.1
13261	17.8
13263	26.7
13265	16.8
13267	46.4
13269	40.8
13271	33.2
13273	30.7
13275	29.3
13277	17.5
13279	25.8
13281	7.1
13283	28.4
13285	19
13287	30.6
13289	28.8
13291	27.8
13293	24.3
13295	20.3
13297	14.7
13299	37.6
13301	19.5
13303	21.9
13305	26.2
13307	27.5
13309	30.5
13311	10.2
13313	20.5
13315	31.6
13317	35.1
13319	13.1
13321	23.4
15001	12.7
15003	7
15005	0
15007	7.1
15009	12
16001	10.4
16003	36.7
16005	7.7
16007	23.8
16009	15.8
16011	17.2
16013	17.5
16015	19.4
16017	23.8
16019	16.7
16021	38.9
16023	46.3
16025	33.9
16027	19
16029	9.8
16031	18.5
16033	4.2
16035	29
16037	34.5
16039	10.5
16041	24
16043	19.2
16045	18.5
16047	23
16049	25.8
16051	18.9
16053	26.6
16055	16
16057	2.9
16059	12.5
16061	41.2
16063	16
16065	4.3
16067	15.9
16069	8.9
16071	17.1
16073	26.8
16075	27.1
16077	26.1
16079	23.1
16081	23.6
16083	16.3
16085	19.5
16087	12.8
17001	14.9
17003	14.2
17005	11.2
17007	21.3
17009	28.9
17011	18
17013	17.6
17015	15.2
17017	16
17019	4.3
17021	17.2
17023	11.9
17025	17.7
17027	17.4
17029	6.4
17031	14.9
17033	18.1
17035	14
17037	5.6
17039	16.7
17041	29.6
17043	10.1
17045	17.6
17047	12
17049	14.3
17051	25.3
17053	27.2
17055	21.9
17057	17.4
17059	19.9
17061	20.3
17063	15.2
17065	20.9
17067	15.4
17069	14.2
17071	16.5
17073	15.5
17075	17.1
17077	4.9
17079	5.7
17081	16.3
17083	9.4
17085	21.1
17087	24.3
17089	18.4
17091	10.7
17093	13.4
17095	11.7
17097	12.8
17099	14.7
17101	49
17103	16.5
17105	24.5
17107	16.7
17109	4.6
17111	14.4
17113	5.8
17115	11.9
17117	14.9
17119	9.9
17121	19
17123	15.5
17125	16.3
17127	18.6
17129	16.5
17131	14.3
17133	11
17135	25.9
17137	10.3
17139	18
17141	12.3
17143	12.5
17145	22.3
17147	17.4
17149	18.6
17151	31.7
17153	18.8
17155	7.2
17157	17.4
17159	17.6
17161	12.6
17163	15.3
17165	27.9
17167	15
17169	5.9
17171	21.3
17173	7.3
17175	13.7
17177	18.9
17179	12.7
17181	14.6
17183	18.9
17185	10.2
17187	4.3
17189	18.5
17191	14.5
17193	20.3
17195	16.9
17197	13
17199	11.7
17201	18.6
17203	14.7
18001	33.9
18003	17.3
18005	19
18007	17.6
18009	18.8
18011	18.3
18013	25
18015	21.1
18017	29.7
18019	19.8
18021	22
18023	20.2
18025	25.6
18027	38.4
18029	23.1
18031	23.2
18033	17.7
18035	9.4
18037	14.8
18039	27.3
18041	31
18043	14.7
18045	23.2
18047	24.7
18049	21.3
18051	17
18053	11.3
18055	15.3
18057	18.4
18059	18.3
18061	17.3
18063	19.5
18065	24
18067	25.4
18069	12
18071	20
18073	16.4
18075	17.1
18077	18.9
18079	17.1
