id	rate
01	-33
02	-12
04	-6
05	-23
06	-9
08	31
09	13
10	-12
11	49
12	-25
13	-26
15	-18
16	-14
17	24
18	2
19	24
20	30
21	0
22	-37
23	6
24	3
25	34
26	11
27	50
28	-40
29	4
30	14
31	7
32	-10
33	5
34	-17
35	-15
36	8
37	0
38	6
39	5
40	-22
41	14
42	22
44	19
45	-29
46	-21
47	-6
48	-9
49	-11
50	10
51	-6
53	12
54	16
55	29
56	-1
